model,dgp,path,t,alpha,true_v,true_e,e2_v,e2_e,e3_v,e3_e
chronos_2,gjr_t,5,1448,0.025,-1.9001005221118266,-2.4471426852398332,-2.0482819076553573,-2.9219131975836325,-1.9256177028862536,-2.5450797643805565
chronos_2,gjr_t,5,1448,0.05,-1.532229775007773,-2.0713636988603725,-1.569367313945246,-2.350084356891649,-1.5229428244970062,-2.1226017805302004
chronos_2,gjr_t,5,1465,0.01,-2.563295407139822,-3.1778494625832727,-2.793460801512381,-3.8599275113511955,-2.5213405190335356,-3.207573349511115
chronos_2,gjr_t,5,1465,0.025,-2.0407569741570146,-2.6282943684000526,-2.0711434792748227,-2.9654268232071828,-1.9610677152492908,-2.6004853131578627
chronos_2,gjr_t,5,1465,0.05,-1.6456543024801706,-2.2246980437470745,-1.5847101161243355,-2.3810822452775944,-1.5627746563901885,-2.1689117130067896
chronos_2,gjr_t,5,1482,0.01,-2.4080055577271655,-2.9853286305613054,-2.339984955402806,-3.252249755455642,-2.2779172939531547,-2.859605836994196
chronos_2,gjr_t,5,1482,0.025,-1.91712360660915,-2.469066744637251,-1.7254351629894227,-2.4881684470987615,-1.7636883821480904,-2.3325215728750033
chronos_2,gjr_t,5,1482,0.05,-1.545957089234434,-2.089921137722185,-1.3126799037783818,-1.9903414050018218,-1.3822529724718036,-1.941550552765495
chronos_2,gjr_t,5,1499,0.01,-2.5911945982645923,-3.2124375281161828,-2.7854901734626925,-3.900780029122164,-2.793823883261506,-3.4685540667564276
chronos_2,gjr_t,5,1499,0.025,-2.06296879910026,-2.6569010154185366,-2.047771853264392,-2.9710825748840097,-2.154968205431355,-2.843845867578093
chronos_2,gjr_t,5,1499,0.05,-1.663565786182872,-2.248911903665256,-1.556733841636801,-2.3707222613264616,-1.662808312853261,-2.3625848709715855
chronos_2,gjr_t,6,512,0.01,-2.6630458678533633,-3.301515251195857,-2.962308275181524,-3.560698679937528,-3.1689111799008414,-3.57748392603448
chronos_2,gjr_t,6,512,0.025,-2.120172888456053,-2.7305742591252695,-2.403745995437348,-3.0099341504561696,-2.6366488175507454,-3.154867274835708
chronos_2,gjr_t,6,512,0.05,-1.7096948240643706,-2.311272011848512,-1.9601052037660818,-2.5842860930644127,-2.1410241805084085,-2.761341000624593
chronos_2,gjr_t,6,528,0.01,-2.3487139991306236,-2.911821828693319,-2.7247575293875665,-3.269360175749845,-2.8395080808417172,-3.2327525430089183
chronos_2,gjr_t,6,528,0.025,-1.869918878906873,-2.4082716957642702,-2.214259717532786,-2.7674319405638617,-2.3544908776473408,-2.8341469818274696
chronos_2,gjr_t,6,528,0.05,-1.5078914771971432,-2.0384616711101704,-1.8078845966140884,-2.37861825224964,-1.9179679057714856,-2.4753958220187386
chronos_2,gjr_t,6,545,0.01,-2.3546711275076224,-2.9192071878519457,-3.0039653580478842,-3.5918873298233724,-3.066771466826726,-3.512513231209496
chronos_2,gjr_t,6,545,0.025,-1.8746616218804089,-2.414379882484182,-2.4504628499181647,-3.0492843783840873,-2.541997002876732,-3.06822812490941
chronos_2,gjr_t,6,545,0.05,-1.5117159969605416,-2.043631895271516,-2.0088330812880395,-2.6279456736048363,-2.082940184548377,-2.679580960575919
chronos_2,gjr_t,6,562,0.01,-3.565508631765299,-4.420344864556345,-3.287258142957183,-3.9335594786577284,-3.445982803684842,-3.941000210145689
chronos_2,gjr_t,6,562,0.025,-2.838664863372558,-3.6559212922739555,-2.680391592500144,-3.337576695680663,-2.856418085454495,-3.4455516949234744
chronos_2,gjr_t,6,562,0.05,-2.2890824850117193,-3.0945243595245464,-2.1968620305943647,-2.8754644930613296,-2.3370467552044145,-3.009091122462876
chronos_2,gjr_t,6,578,0.01,-2.665368062935308,-3.3043941961557772,-2.597128077901811,-3.104947946801849,-2.6759487246640257,-3.0658602535151704
chronos_2,gjr_t,6,578,0.025,-2.12202169440937,-2.732955339448357,-2.116806298725454,-2.635575119005545,-2.213647603949744,-2.6762383710904625
chronos_2,gjr_t,6,578,0.05,-1.711185690203777,-2.3132874576069726,-1.7326122613151773,-2.270153443403348,-1.8075005979934518,-2.333942508261157
chronos_2,gjr_t,6,595,0.01,-2.208293704422265,-2.7377355502129697,-2.2700079951288115,-2.7205474150957696,-2.320162765368465,-2.722064417762471
chronos_2,gjr_t,6,595,0.025,-1.758123845474101,-2.264290682587616,-1.849737013358363,-2.305954379535395,-1.8984350195429762,-2.3371750043664643
chronos_2,gjr_t,6,595,0.05,-1.4177406262656884,-1.916590132593801,-1.5160535638281116,-1.9856628266094085,-1.553914940108537,-2.022749091940162
chronos_2,gjr_t,6,612,0.01,-2.596691228980422,-3.2192519845840817,-2.659796102789879,-3.1931774247684457,-2.659645110362729,-3.1446737737122734
chronos_2,gjr_t,6,612,0.025,-2.0673449187766932,-2.6625370273722706,-2.1600427653996577,-2.7016618683028586,-2.1667299657670402,-2.6851280013872647
chronos_2,gjr_t,6,612,0.05,-1.6670946630971188,-2.25368245939857,-1.7623164311143507,-2.321009897701118,-1.7714475415888717,-2.3166054090160038
chronos_2,gjr_t,6,629,0.01,-2.9917159221904965,-3.708984461585427,-2.333750576015396,-2.794691590160847,-2.366086300830924,-2.742260374978981
