layer,asset,state,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
moirai_2_0:e3,hsi,high,513,0.04678362573099415,0.7633236676332367,True,1.1359703320087502
moirai_2_0:e3,jnj,low,2147,0.04564508616674429,0.37736226377362264,True,0.8934101101987668
moirai_2_0:e3,jnj,high,491,0.06109979633401222,0.29757024297570245,True,1.2064065775213253
moirai_2_0:e3,jpm,low,2206,0.03989120580235721,0.024197580241975804,False,1.1452050914310512
moirai_2_0:e3,jpm,high,432,0.07407407407407407,0.0375962403759624,False,1.8126970193700909
moirai_2_0:e3,ltc,low,2491,0.04897631473303894,0.8188181181881812,True,2.3432708634841335
moirai_2_0:e3,ltc,high,816,0.0625,0.12618738126187382,True,2.649672592110157
moirai_2_0:e3,msft,low,1992,0.04919678714859438,0.8768123187681232,True,1.218202548558179
moirai_2_0:e3,msft,high,646,0.07275541795665634,0.014798520147985201,False,1.574085557411585
moirai_2_0:e3,ndx,low,1968,0.04878048780487805,0.8418158184181582,True,1.037190605868601
moirai_2_0:e3,ndx,high,670,0.0626865671641791,0.15748425157484253,True,1.398433296596409
moirai_2_0:e3,nikkei,low,2040,0.05,1.0,True,0.9919634698150591
moirai_2_0:e3,nikkei,high,525,0.06285714285714286,0.23227677232276772,True,1.3867201932213535
moirai_2_0:e3,nvda,low,1947,0.05290190035952748,0.5641435856414359,True,1.798054482759174
moirai_2_0:e3,nvda,high,691,0.06222865412445731,0.15648435156484353,True,2.097780123803523
moirai_2_0:e3,rut,low,2163,0.045307443365695796,0.33136686331366866,True,1.010160715361749
moirai_2_0:e3,rut,high,475,0.06947368421052631,0.06989301069893011,True,1.6476324869594474
moirai_2_0:e3,spx,low,2134,0.03889409559512652,0.015298470152984701,False,0.7391173721813669
moirai_2_0:e3,spx,high,504,0.06944444444444445,0.0633936606339366,True,1.315223988617015
moirai_2_0:e3,usdcad,low,1902,0.03785488958990536,0.012098790120987902,False,-0.14694586264005002
moirai_2_0:e3,usdcad,high,831,0.056558363417569195,0.42655734426557346,True,0.23513022572858752
moirai_2_0:e3,usdchf,low,2083,0.04752760441670667,0.6243375662433757,True,0.001235632029430696
moirai_2_0:e3,usdchf,high,649,0.07395993836671803,0.008999100089991,False,0.3891767902718126
moirai_2_0:e3,wmt,low,2257,0.05582631812140009,0.23417658234176583,True,1.0473519961641435
moirai_2_0:e3,wmt,high,381,0.07874015748031496,0.0198980101989801,False,1.348086173615898
moirai_2_0:e3,xom,low,2016,0.040674603174603176,0.05319468053194681,True,1.1361064753682428
moirai_2_0:e3,xom,high,622,0.07877813504823152,0.0038996100389961006,False,1.7497424672712114
moirai_2_0:e3,xrp,low,1707,0.04979496192149971,1.0,True,2.180712542359957
moirai_2_0:e3,xrp,high,451,0.06430155210643015,0.20057994200579943,True,2.7357557279030447
lag_llama:e3,aapl,low,1946,0.08016443987667009,9.999000099990002e-05,False,1.4834347088899216
lag_llama:e3,aapl,high,692,0.09393063583815028,9.999000099990002e-05,False,1.8202949233008185
lag_llama:e3,amzn,low,2014,0.07646474677259185,9.999000099990002e-05,False,1.503181845417345
lag_llama:e3,amzn,high,624,0.11057692307692307,9.999000099990002e-05,False,2.150128670965265
