layer,asset,stratum,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
chronos_bolt:e3,dgs30,Q1,656,0.06554878048780488,0.0882911708829117,True,
chronos_bolt:e3,dgs30,Q2,656,0.06707317073170732,0.05909409059094091,True,
chronos_bolt:e3,dgs30,Q3,656,0.056402439024390245,0.48205179482051796,True,
chronos_bolt:e3,dgs30,Q4,657,0.0624048706240487,0.17588241175882413,True,
chronos_bolt:e3,dgs5,Q1,656,0.05945121951219512,0.2886711328867113,True,1.9356883235699807
chronos_bolt:e3,dgs5,Q2,656,0.06097560975609756,0.24987501249875013,True,2.283024414374291
chronos_bolt:e3,dgs5,Q3,656,0.056402439024390245,0.48205179482051796,True,2.431833070774184
chronos_bolt:e3,dgs5,Q4,657,0.0487062404870624,0.9286071392860714,True,2.861054237626011
chronos_bolt:e3,eth,Q1,540,0.06481481481481481,0.1391860813918608,True,1.9027547624450942
chronos_bolt:e3,eth,Q2,539,0.07606679035250463,0.0103989601039896,False,2.291232994826489
chronos_bolt:e3,eth,Q3,540,0.06481481481481481,0.1391860813918608,True,2.2030591107933173
chronos_bolt:e3,eth,Q4,540,0.07037037037037037,0.047495250474952504,False,2.5435413282257815
chronos_bolt:e3,ftse,Q1,663,0.06485671191553545,0.10438956104389562,True,0.4212954668275716
chronos_bolt:e3,ftse,Q2,663,0.07239819004524888,0.0156984301569843,False,0.5954404993514371
chronos_bolt:e3,ftse,Q3,663,0.058823529411764705,0.3183681631836816,True,0.6985758093974681
chronos_bolt:e3,ftse,Q4,663,0.07692307692307693,0.0031996800319968005,False,1.3305593733267462
chronos_bolt:e3,gbpusd,Q1,684,0.0804093567251462,0.000999900009999,False,0.1880685694426899
chronos_bolt:e3,gbpusd,Q2,683,0.0629575402635432,0.1381861813818618,True,-0.0014219198095762316
chronos_bolt:e3,gbpusd,Q3,683,0.05856515373352855,0.33756624337566243,True,0.22817831529092128
chronos_bolt:e3,gbpusd,Q4,684,0.06140350877192982,0.1845815418458154,True,0.6440486024022977
chronos_bolt:e3,gold,Q1,660,0.07121212121212121,0.021397860213978603,False,0.5919584413128179
chronos_bolt:e3,gold,Q2,659,0.06069802731411229,0.24997500249975002,True,0.8224533088008606
chronos_bolt:e3,gold,Q3,660,0.07272727272727272,0.013398660133986601,False,0.9451892026185349
chronos_bolt:e3,gold,Q4,660,0.06666666666666667,0.07589241075892411,True,1.2292824617938922
chronos_bolt:e3,hsi,Q1,645,0.08062015503875969,0.0012998700129987,False,0.887425285845361
chronos_bolt:e3,hsi,Q2,645,0.05891472868217054,0.31856814318568144,True,0.893994338987076
chronos_bolt:e3,hsi,Q3,645,0.06666666666666667,0.07089291070892911,True,1.1306237183392243
chronos_bolt:e3,hsi,Q4,645,0.07596899224806201,0.0045995400459954,False,1.645156377446539
chronos_bolt:e3,jnj,Q1,660,0.06363636363636363,0.126987301269873,True,0.700034821471056
chronos_bolt:e3,jnj,Q2,659,0.06828528072837632,0.0491950804919508,False,0.9368640850338738
chronos_bolt:e3,jnj,Q3,660,0.05757575757575758,0.42555744425557446,True,1.0223435745422613
chronos_bolt:e3,jnj,Q4,660,0.0893939393939394,0.00019998000199980003,False,1.2645182542961895
chronos_bolt:e3,jpm,Q1,660,0.06212121212121212,0.1785821417858214,True,1.1342471654561792
chronos_bolt:e3,jpm,Q2,659,0.048558421851289835,0.9301069893010699,True,1.124443108023459
chronos_bolt:e3,jpm,Q3,660,0.08333333333333333,0.00019998000199980003,False,1.3617015465810716
chronos_bolt:e3,jpm,Q4,660,0.06060606060606061,0.24697530246975302,True,1.5650192917206782
chronos_bolt:e3,ltc,Q1,827,0.06287787182587666,0.10748925107489252,True,2.125516407521452
chronos_bolt:e3,ltc,Q2,827,0.06771463119709795,0.0316968303169683,False,2.3694656801293883
chronos_bolt:e3,ltc,Q3,827,0.0761789600967352,0.0017998200179982,False,2.489759433695079
chronos_bolt:e3,ltc,Q4,827,0.06529625151148731,0.054094590540945904,True,2.73076296619954
chronos_bolt:e3,msft,Q1,660,0.07575757575757576,0.005499450054994501,False,1.0676531204530326
chronos_bolt:e3,msft,Q2,659,0.08801213960546282,9.999000099990002e-05,False,1.2156146026330021
chronos_bolt:e3,msft,Q3,660,0.06666666666666667,0.07589241075892411,True,1.4258125649025326
chronos_bolt:e3,msft,Q4,660,0.07575757575757576,0.005499450054994501,False,1.6558178554863072
chronos_bolt:e3,natgas,Q1,660,0.05909090909090909,0.3321667833216678,True,1.4258210637353395
chronos_bolt:e3,natgas,Q2,660,0.06212121212121212,0.1785821417858214,True,2.037590196826957
chronos_bolt:e3,natgas,Q3,660,0.06060606060606061,0.24697530246975302,True,2.1457959915234555
chronos_bolt:e3,natgas,Q4,661,0.08472012102874432,0.00019998000199980003,False,2.735390511754585
chronos_bolt:e3,ndx,Q1,660,0.05454545454545454,0.6586341365863414,True,0.9005899566299543
chronos_bolt:e3,ndx,Q2,659,0.07283763277693475,0.012798720127987202,False,1.0010700638629373
chronos_bolt:e3,ndx,Q3,660,0.0696969696969697,0.0327967203279672,False,1.2193012871026012
chronos_bolt:e3,ndx,Q4,660,0.07878787878787878,0.0014998500149985001,False,1.5634195066259942
chronos_bolt:e3,nikkei,Q1,642,0.07320872274143302,0.013398660133986601,False,0.8233556575587478
chronos_bolt:e3,nikkei,Q2,641,0.060842433697347896,0.23987601239876014,True,0.8549582874624029
chronos_bolt:e3,nikkei,Q3,641,0.07956318252730109,0.0016998300169983002,False,1.211786651105563
chronos_bolt:e3,nikkei,Q4,642,0.07476635514018691,0.007899210078992101,False,1.625043529436402
chronos_bolt:e3,nvda,Q1,660,0.07424242424242425,0.009099090090990901,False,1.6827916705086872
chronos_bolt:e3,nvda,Q2,659,0.057663125948406675,0.4253574642535746,True,1.7106366823513284
chronos_bolt:e3,nvda,Q3,660,0.09242424242424242,9.999000099990002e-05,False,2.0210637029291445
chronos_bolt:e3,nvda,Q4,660,0.07878787878787878,0.0014998500149985001,False,2.199686129169014
