model,asset,alpha,pair,n,stat_frozen,p_frozen,stat_nw,p_nw,nw_lag,mean_diff
chronos_bolt,dgs5,0.01,F1_vs_F4,2125,-0.4534572767318667,0.6502658233290202,-0.42489488359888145,0.6709133045990385,7,-0.0197577661438963
chronos_bolt,dgs5,0.025,F1_vs_garch_evt,2125,-0.9040960384386,0.3660470078611403,-0.8735578958378577,0.38235906399228403,7,-0.0220889591723117
chronos_bolt,dgs5,0.025,F1_vs_F4,2125,-0.5601505163455669,0.5754358480944393,-0.5019522866713485,0.6157010841515298,7,-0.0108111510902917
chronos_bolt,dgs5,0.05,F1_vs_garch_evt,2125,-1.5803726209900095,0.1141704527891887,-1.4431678567855544,0.14897319185385371,7,-0.0259068950734734
chronos_bolt,dgs5,0.05,F1_vs_F4,2125,-0.3037708737253031,0.7613322117598158,-0.2562891771992288,0.7977275535914037,7,-0.0034617776610497
chronos_bolt,eth,0.01,F1_vs_garch_evt,1659,-0.3863243279900621,0.6993060548627968,-0.40754532169499,0.6836075141273636,7,-0.0185844764454991
chronos_bolt,eth,0.01,F1_vs_F4,1658,-2.108323667975132,0.0351527874003634,-1.9949333240161817,0.0460501524179,7,-0.1289298496510534
chronos_bolt,eth,0.025,F1_vs_garch_evt,1659,-0.3370595060003674,0.7361147033978039,-0.35418672375609406,0.7231989524551794,7,-0.0085760943393397
chronos_bolt,eth,0.025,F1_vs_F4,1659,-1.4368339393404364,0.1509538539430611,-1.3870963243107466,0.16541239270608177,7,-0.0350134256685288
chronos_bolt,eth,0.05,F1_vs_garch_evt,1659,-0.743301664062839,0.4574043735240536,-0.7685963014190799,0.4421330018362064,7,-0.0131736220504447
chronos_bolt,eth,0.05,F1_vs_F4,1659,-0.91415145734742,0.3607701850136822,-0.9576685094009022,0.3382299408647387,7,-0.0152851318600062
chronos_bolt,ftse,0.01,F1_vs_garch_evt,2152,2.061331884299076,0.0393913164141541,1.688172676572293,0.09137808661410918,7,0.1348438771818768
chronos_bolt,ftse,0.01,F1_vs_F4,2152,-1.4358868080744152,0.1511799576180502,-1.1152589539062985,0.26473946926286285,7,-0.0767734755865281
chronos_bolt,ftse,0.025,F1_vs_garch_evt,2152,2.120519116167172,0.0340764509339646,1.8175703451539769,0.0691298275546306,7,0.0783900357378792
chronos_bolt,ftse,0.025,F1_vs_F4,2152,-1.9015789261988452,0.0573597211537136,-1.5058578101562468,0.13210367909002385,7,-0.0389981380468437
chronos_bolt,ftse,0.05,F1_vs_garch_evt,2152,2.273414937351414,0.0230993740436136,1.899311536689865,0.057523526904032174,7,0.056303842205979
